canonical_smiles,molecule_chembl_id,standard_units,standard_value,units,value
Cc1ccc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccccc1,CHEMBL297008,nM,60.0,uM,0.06
Cc1c(C=O)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,CHEMBL289813,nM,3230.0,uM,3.23
Cc1c(COc2cccc(Cl)c2)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,CHEMBL43736,nM,80.0,uM,0.08
Fc1ccc(-c2[nH]c(-c3ccc(F)cc3)c3c2C2CCC3CC2)cc1,CHEMBL140167,nM,0.12,nM,0.12
CC(=O)c1cc(-c2ccc(S(C)(=O)=O)cc2)n(-c2ccc(F)cc2)c1C,CHEMBL44290,nM,1610.0,uM,1.61
Cc1ccc(-n2c(C)ccc2-c2ccc(S(C)(=O)=O)cc2)cc1,CHEMBL43737,nM,40.0,uM,0.04
NS(=O)(=O)c1ccc(-n2cccc2-c2ccc(F)cc2)cc1,CHEMBL43511,nM,14.0,uM,0.014
Cc1c(CN(C)C)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,CHEMBL42801,nM,100000.0,uM,100.0
CC(C(=O)O)c1ccc2c(c1)[nH]c1ccc(Cl)cc12,CHEMBL1316,nM,102.0,uM,0.102
Cc1c(Br)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,CHEMBL40245,nM,20.0,uM,0.02
CS(=O)(=O)c1ccc(-c2cccn2-c2ccc(F)cc2)cc1,CHEMBL43210,nM,10200.0,uM,10.2
Cc1c(CO)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,CHEMBL44101,nM,3880.0,uM,3.88
Cc1c(COc2ccc(Cl)cc2)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,CHEMBL44152,nM,30.0,uM,0.03
COc1ccc(-c2ccc(CCC(=O)O)n2-c2ccc(C(C)=O)cc2)cc1,CHEMBL43664,nM,4600.0,uM,4.6
Cc1ccc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)c(F)c1,CHEMBL298208,nM,250.0,uM,0.25
Cc1ccc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,CHEMBL43002,nM,60.0,uM,0.06
Cc1c(C(=O)C(F)(F)F)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,CHEMBL42409,nM,120.0,uM,0.12
CS(=O)(=O)c1ccc(-n2cccc2-c2ccc(F)cc2)cc1,CHEMBL43957,nM,510.0,uM,0.51
Cc1c(C#N)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,CHEMBL43366,nM,750.0,uM,0.75
Cc1ccc(-c2ccc(S(C)(=O)=O)cc2)n1C1CCCCC1,CHEMBL43864,nM,520.0,uM,0.52
